Year,Month,Earnings
1991,January,4038
1992,January,13005
1993,January,27763
1994,January,101795
1995,January,170885
1996,January,256563
1997,January,396892
1998,January,884424
1999,January,1240941
2000,January,1725994
2001,January,2738029
2002,January,3671588
2003,January,4730761
2004,January,5771049
2005,January,723
2006,January,826
2007,January,918
2008,January,1200
2009,January,1355
2010,January,1426
2011,January,1424
2012,January,1467
2013,January,1548
2014,January,1625
2015,January,1740
2016,January,1943
2017,January,2300
2018,January,2484
2019,January,2936
2020,January,3189
1991,February,3978
1992,February,12717
1993,February,29162
1994,February,106378
1995,February,173758
1996,February,248880
1997,February,456305
1998,February,878620
1999,February,1294259
2000,February,1748052
2001,February,2596213
2002,February,3464365
2003,February,4451835
2004,February,5477573
2005,February,674
2006,February,767
2007,February,941
2008,February,1134
2009,February,1358
2010,February,1411
2011,February,1414
2012,February,1472
2013,February,1553
2014,February,1626
2015,February,1731
2016,February,1950
2017,February,2236
2018,February,2487
2019,February,2933
2020,February,3202
1991,March,4110
1992,March,15287
1993,March,37146
1994,March,112603
1995,March,182803
1996,March,262237
1997,March,507026
1998,March,954305
1999,March,1411363
2000,March,1906989
2001,March,2819240
2002,March,3666430
2003,March,4637693
2004,March,5857482
2005,March,708
2006,March,828
2007,March,1013
2008,March,1192
2009,March,1402
2010,March,1509
2011,March,1493
2012,March,1543
2013,March,1617
2014,March,1706
2015,March,1829
2016,March,2051
2017,March,2342
2018,March,2704
2019,March,3075
2020,March,3294
1991,April,6213
1992,April,15677
1993,April,38319
1994,April,126194
1995,April,199030
1996,April,301558
1997,April,591867
1998,April,1045498
1999,April,1479672
2000,April,2135867
2001,April,3025138
2002,April,3965851
2003,April,4955273
2004,April,5969555
2005,April,743
2006,April,839
2007,April,1027
2008,April,1282
2009,April,1408
2010,April,1436
2011,April,1498
2012,April,1553
2013,April,1661
2014,April,1735
2015,April,1857
2016,April,2086
2017,April,2366
2018,April,2713
2019,April,3115
2020,April,3182
1991,May,7550
1992,May,17709
1993,May,51034
1994,May,126464
1995,May,199702
1996,May,293508
1997,May,567647
1998,May,999233
1999,May,1460453
2000,May,2029622
2001,May,2915299
2002,May,3795431
2003,May,4729313
2004,May,5801110
2005,May,720
2006,May,833
2007,May,1012
2008,May,1248
2009,May,1356
2010,May,1428
2011,May,1458
2012,May,1530
2013,May,1611
2014,May,1682
2015,May,1806
2016,May,2063
2017,May,2363
2018,May,2704
2019,May,3101
2020,May,3179
1991,June,7787
1992,June,19426
1993,June,58917
1994,June,131134
1995,June,205080
1996,June,294148
1997,June,580978
1998,June,1040621
1999,June,1513514
2000,June,2103644
2001,June,2981495
2002,June,3806409
2003,June,4705891
2004,June,5828978
2005,June,722
2006,June,835
2007,June,1023
2008,June,1273
2009,June,1379
2010,June,1422
2011,June,1472
2012,June,1552
2013,June,1606
2014,June,1687
2015,June,1818
2016,June,2078
2017,June,2380
2018,June,2721
2019,June,3142
2020,June,3298
1991,July,8263
1992,July,19989
1993,July,67047
1994,July,142657
1995,July,218535
1996,July,333797
1997,July,621728
1998,July,1098549
1999,July,1603869
2000,July,2171977
2001,July,3123279
2002,July,3919380
2003,July,4863801
2004,July,5883194
2005,July,730
2006,July,842
2007,July,1040
2008,July,1308
2009,July,1390
2010,July,1355
2011,July,1471
2012,July,1556
2013,July,1635
2014,July,1719
